Category,Subcategory,Effort_Per_Issue,Impact_Per_Day
User Support High,Customer Service Critical Tool Failures,2650,48000
User Support High,Production Team System Down Issues,3500,58000
User Support High,Remote Access Critical VPN Problems,2200,38000
User Support High,Executive Assistant Critical Tool Issues,2950,42000
User Support High,Department Manager System Access Issues,2400,35000
User Support High,Critical Project Team Tool Failures,3100,46000
User Support High,Key Client Presentation System Issues,2750,51000
User Support High,Revenue Team Critical System Problems,3400,55000
User Support Standard,Password Reset Requests,85,250
User Support Standard,Software Installation Basic Help,125,420
User Support Standard,Email Configuration Standard Support,95,380
User Support Standard,Printer Setup Basic Assistance,105,340
User Support Standard,VPN Connection Standard Help,135,480
User Support Standard,File Access Standard Permission Issues,78,290
User Support Standard,Phone System Basic Setup,148,520
User Support Standard,Mobile Device Standard Configuration,165,580
User Support Standard,Account Creation Standard Requests,65,220
User Support Standard,Basic Training Standard Sessions,220,750
